,vibration,temperature,pressure,vibration_lag1,vibration_lag2,vibration_roll1h_mean,vibration_roll4h_mean,vibration_roll8h_mean,vibration_roll4h_std,vibration_ema4h,temperature_lag1,temperature_lag2,temperature_roll1h_mean,temperature_roll4h_mean,temperature_roll8h_mean,temperature_roll4h_std,temperature_ema4h,pressure_lag1,pressure_lag2,pressure_roll1h_mean,pressure_roll4h_mean,pressure_roll8h_mean,pressure_roll4h_std,pressure_ema4h
vibration,1.0,0.4530003509182373,-0.44412885788610135,0.5746934132625772,0.4955891117389447,0.566421085045696,0.25800052709319654,0.11560075111202404,0.2878435616202436,0.40937143511282914,0.423012178416378,0.38728368961548365,0.5127855548275747,0.2778248132377232,0.13987430458925432,0.28046411538757937,0.40502457488283006,-0.4248075713107085,-0.37485364363435136,-0.5188381427886011,-0.2640536812090451,-0.11827104750872129,0.2219812679204335,-0.39574664554440003
temperature,0.4530003509182373,1.0,-0.3764972269506264,0.41433444860302554,0.3677252332463632,0.41082662049816937,0.1821100022595654,0.07617904439563784,0.2128339909250713,0.28791334846831274,0.3513171939593839,0.316791131608244,0.3913302516461434,0.20411125973511524,0.09872010325183368,0.22920951708353018,0.2992649689877887,-0.33521774786200054,-0.3004265292716576,-0.3962257268445419,-0.19311908158592486,-0.07894593614746244,0.18163719804912745,-0.2925194889718926
pressure,-0.44412885788610135,-0.3764972269506264,1.0,-0.4008380989995549,-0.3523508434613286,-0.39082759763283276,-0.17373074163842972,-0.07468318212215298,-0.19355285720986795,-0.27785795846092615,-0.3117257711151894,-0.2882345273074363,-0.37048148717925417,-0.2001771987768609,-0.10814693754228362,-0.2251055159032984,-0.29013639610305936,0.31726026512348704,0.2897065120979878,0.4063373238986684,0.2066585510141963,0.09283519253028148,-0.1808811719319755,0.30936439434250274
vibration_lag1,0.5746934132625772,0.41433444860302554,-0.4008380989995549,1.0,0.5776627878861547,0.7200850871112595,0.33787391884825296,0.17458472012279466,0.33087877213648015,0.5424898974231175,0.4541831063289372,0.42282090297978864,0.5697384627995202,0.3219181388789222,0.17456075208060556,0.3208619889371422,0.46524302637325193,-0.44693128781793995,-0.42499235462066415,-0.5730414462479205,-0.30725212653598744,-0.15399776574613178,0.2525089119373194,-0.4541872382593857
vibration_lag2,0.4955891117389447,0.3677252332463632,-0.3523508434613286,0.5776627878861547,1.0,0.7692603905719957,0.38410548475406103,0.21008889474811349,0.3662981383790048,0.5957709285625564,0.41520960359390774,0.4554294123857083,0.6048344646789406,0.36016239989030424,0.20597443759564724,0.3510751237600151,0.513115996280452,-0.40370082409423,-0.44610658393886043,-0.6042147028899431,-0.3437917968728721,-0.18589257619553753,0.2780973964565696,-0.49827777532564
vibration_roll1h_mean,0.566421085045696,0.41082662049816937,-0.39082759763283276,0.7200850871112595,0.7692603905719957,1.0,0.5744878618499903,0.3309165996701786,0.5247168550987277,0.8270712627063973,0.468342794945081,0.5042604325743809,0.777913409921421,0.5292860727353174,0.32250626148250455,0.49263133309758017,0.7175247136968755,-0.4446846206873818,-0.4885196888299165,-0.7676112643277747,-0.5114646819474484,-0.29223863501058917,0.3984053594607446,-0.6917874281558823
vibration_roll4h_mean,0.25800052709319654,0.1821100022595654,-0.17373074163842972,0.33787391884825296,0.38410548475406103,0.5744878618499903,1.0,0.6954539094715765,0.8652653620838767,0.9125034271286014,0.21702182620002908,0.24749135725674795,0.4425249421723124,0.8634401819635156,0.6441540280092435,0.7442504101334657,0.768834982802347,-0.21033279827080126,-0.24446467231914598,-0.4443585977425774,-0.8387769318051367,-0.6013577396670025,0.6638465427438369,-0.7498351855394552
vibration_roll8h_mean,0.11560075111202404,0.07617904439563784,-0.07468318212215298,0.17458472012279466,0.21008889474811349,0.3309165996701786,0.6954539094715765,1.0,0.6752614237701172,0.67448297097396,0.10338454969626472,0.13004840837763437,0.24742249901540628,0.5930385283901466,0.8765834169579846,0.487099415803863,0.5604816715449018,-0.10030512446830794,-0.12492092544173819,-0.24316699480773254,-0.5710221888741984,-0.8336321305273255,0.45753939372390623,-0.5408722599420077
vibration_roll4h_std,0.2878435616202436,0.2128339909250713,-0.19355285720986795,0.33087877213648015,0.3662981383790048,0.5247168550987277,0.8652653620838767,0.6752614237701172,1.0,0.8058155755476982,0.24671401593261422,0.26866735472590786,0.44341002796848183,0.7544261539550013,0.6388438585030647,0.7361810426752257,0.700692366424042,-0.22861258356840652,-0.2525354448038783,-0.4319412374904671,-0.7530844993766944,-0.5922166577816479,0.6498701987531335,-0.687553630377412
vibration_ema4h,0.40937143511282914,0.28791334846831274,-0.27785795846092615,0.5424898974231175,0.5957709285625564,0.8270712627063973,0.9125034271286014,0.67448297097396,0.8058155755476982,1.0,0.33986001353237827,0.38319689029710363,0.6450329415588092,0.8042994933752414,0.6256711515416687,0.7025629983082593,0.8513319147713025,-0.33076994250027153,-0.37442110235266096,-0.6403178658091027,-0.7807266163599068,-0.5820819491407496,0.6036140183993931,-0.8256973861257259
